date,opening_quotation,high,low,closing_quotation,volume,closing_quotation_adjustment
"2012-03-29","867","869","849","859","1503800","859"
"2012-03-30","864","866","853","858","1421800","858"
"2012-04-02","862","867","855","855","1221700","855"
"2012-04-03","862","862","846","854","817100","854"
"2012-04-04","853","862","840","842","1012300","842"
"2012-04-05","844","849","833","844","1298900","844"
"2012-04-06","838","846","819","825","952600","825"
"2012-04-09","810","815","802","804","1119800","804"
"2012-04-10","805","823","800","806","801300","806"
"2012-04-11","788","803","788","802","1061700","802"
"2012-04-12","801","803","790","801","644900","801"
"2012-04-13","802","802","783","793","2739200","793"
"2012-04-16","778","795","778","789","730800","789"
"2012-04-17","785","802","784","796","888800","796"
"2012-04-18","802","816","800","815","905700","815"
"2012-04-19","801","807","792","798","1335600","798"
"2012-04-20","788","791","777","786","1136300","786"
"2012-04-23","789","794","778","778","725300","778"
"2012-04-24","775","784","771","774","801700","774"
"2012-04-25","784","784","773","779","999200","779"
"2012-04-26","788","791","778","784","770300","784"
"2012-04-27","777","793","772","779","1353100","779"
"2012-05-01","780","780","759","766","1022800","766"
"2012-05-02","760","776","748","766","1286900","766"
"2012-05-07","742","760","742","752","1004000","752"
"2012-05-08","758","763","753","759","987200","759"
"2012-05-09","759","766","754","757","1073700","757"
"2012-05-10","752","756","750","752","859700","752"
"2012-05-11","755","765","746","749","1216600","749"
"2012-05-14","750","753","742","745","655800","745"
"2012-05-15","740","742","709","719","1011400","719"
"2012-05-16","713","728","707","711","1010300","711"
"2012-05-17","701","719","701","716","863200","716"
"2012-05-18","699","701","681","684","1460700","684"
"2012-05-21","685","694","680","681","821000","681"
"2012-05-22","689","697","686","692","872500","692"
"2012-05-23","692","692","664","667","1169900","667"
"2012-05-24","667","680","666","674","1069200","674"
"2012-05-25","681","681","667","673","735800","673"
"2012-05-28","676","679","663","672","686900","672"
"2012-05-29","670","679","662","679","926600","679"
"2012-05-30","681","685","669","675","898400","675"
"2012-05-31","661","673","655","671","1179300","671"
"2012-06-01","672","678","668","675","1106300","675"
"2012-06-04","656","677","654","676","1297000","676"
"2012-06-05","677","695","673","692","1396800","692"
"2012-06-06","698","703","688","701","877200","701"
"2012-06-07","709","717","704","715","772600","715"
"2012-06-08","717","720","707","714","3436800","714"
"2012-06-11","734","750","732","746","1280900","746"
"2012-06-12","733","738","720","732","1033500","732"
"2012-06-13","737","747","730","744","1179700","744"
"2012-06-14","743","751","738","745","1029700","745"
"2012-06-15","739","742","724","732","1331200","732"
"2012-06-18","747","749","742","748","756500","748"
"2012-06-19","747","755","743","748","685800","748"
"2012-06-20","752","757","749","754","996900","754"
"2012-06-21","757","763","752","756","1010100","756"
"2012-06-22","744","755","740","753","781800","753"
"2012-06-25","762","762","749","752","499500","752"
"2012-06-26","753","758","736","743","870800","743"
"2012-06-27","743","750","736","748","753000","748"
"2012-06-28","752","791","745","787","2053500","787"
"2012-06-29","796","821","791","815","1847900","815"
"2012-07-02","816","819","803","809","1123900","809"
"2012-07-03","807","811","798","803","1204500","803"
"2012-07-04","804","812","797","800","810300","800"
"2012-07-05","795","801","787","797","915400","797"
"2012-07-06","794","799","778","786","968500","786"
"2012-07-09","780","782","769","777","775400","777"
"2012-07-10","770","786","767","769","968200","769"
"2012-07-11","764","772","761","768","882100","768"
"2012-07-12","773","773","752","753","871900","753"
"2012-07-13","748","764","748","758","813000","758"
"2012-07-17","760","763","750","758","520100","758"
"2012-07-18","765","767","751","753","553300","753"
"2012-07-19","765","776","763","766","842700","766"
"2012-07-20","767","770","753","754","615500","754"
"2012-07-23","741","745","731","733","628900","733"
"2012-07-24","729","731","714","728","1083700","728"
"2012-07-25","724","726","708","712","808700","712"
"2012-07-26","704","712","696","707","1219100","707"
"2012-07-27","717","728","713","727","878100","727"
"2012-07-30","742","749","731","739","553500","739"
"2012-07-31","739","762","738","759","811600","759"
"2012-08-01","744","746","719","743","1129000","743"
"2012-08-02","736","741","728","732","908500","732"
"2012-08-03","721","737","721","729","918600","729"
"2012-08-06","743","757","738","752","622500","752"
"2012-08-07","748","757","744","755","458200","755"
"2012-08-08","762","781","761","774","893900","774"
"2012-08-09","774","786","770","781","1000200","781"
"2012-08-10","775","776","762","767","740200","767"
"2012-08-13","766","773","763","768","176800","768"
"2012-08-14","773","782","773","780","483600","780"
"2012-08-15","782","783","771","779","346600","779"
"2012-08-16","785","794","781","793","555600","793"
"2012-08-17","794","805","790","800","594500","800"
"2012-08-20","811","817","807","813","670100","813"
"2012-08-21","811","815","803","804","495700","804"
"2012-08-22","805","805","792","800","503500","800"
"2012-08-23","796","815","795","813","642400","813"
"2012-08-24","803","810","801","805","440800","805"
"2012-08-27","806","809","800","802","549500","802"
"2012-08-28","799","804","788","792","624700","792"
"2012-08-29","799","804","795","803","583400","803"
"2012-08-30","804","804","792","800","428600","800"
"2012-08-31","793","794","786","786","460500","786"
"2012-09-03","785","787","768","773","792300","773"
"2012-09-04","773","781","768","774","492800","774"
"2012-09-05","779","779","765","768","541800","768"
"2012-09-06","766","770","759","767","600300","767"
"2012-09-07","790","794","776","781","687400","781"
"2012-09-10","776","781","766","771","516800","771"
"2012-09-11","763","769","753","768","695300","768"
"2012-09-12","769","778","762","777","599900","777"
"2012-09-13","780","786","777","783","387300","783"
"2012-09-14","780","803","775","799","2300600","799"
"2012-09-18","804","811","797","798","801500","798"
"2012-09-19","799","806","792","800","974100","800"
"2012-09-20","789","796","776","782","1188600","782"
"2012-09-21","789","802","787","796","795600","796"
"2012-09-24","787","789","766","773","1205300","773"
"2012-09-25","769","783","759","769","1078800","769"
"2012-09-26","750","750","741","746","1031200","746"
"2012-09-27","740","746","733","736","869900","736"
"2012-09-28","739","740","719","724","939300","724"
"2012-10-01","718","721","709","715","579900","715"
"2012-10-02","725","731","718","721","672800","721"
"2012-10-03","722","723","705","707","571000","707"
"2012-10-04","710","715","700","712","475800","712"
"2012-10-05","715","716","700","707","674100","707"
"2012-10-09","714","727","711","721","1230500","721"
"2012-10-10","712","717","705","709","866000","709"
"2012-10-11","703","719","703","712","995700","712"
"2012-10-12","719","726","715","723","1410500","723"
"2012-10-15","723","728","714","725","727900","725"
"2012-10-16","730","749","729","747","824000","747"
"2012-10-17","756","757","743","744","600300","744"
"2012-10-18","756","774","754","770","760000","770"
"2012-10-19","761","764","747","757","887700","757"
"2012-10-22","749","774","746","770","671500","770"
"2012-10-23","779","780","755","764","696100","764"
"2012-10-24","756","775","755","767","683800","767"
"2012-10-25","772","780","764","779","749400","779"
"2012-10-26","743","745","714","717","2575100","717"
"2012-10-29","712","717","706","712","693200","712"
"2012-10-30","710","721","706","707","777600","707"
"2012-10-31","722","723","714","717","672600","717"
"2012-11-01","722","729","713","727","633800","727"
"2012-11-02","735","737","721","723","838600","723"
"2012-11-05","715","718","697","708","882000","708"
"2012-11-06","707","714","704","711","408800","711"
"2012-11-07","721","723","710","714","649800","714"
"2012-11-08","705","709","694","697","791000","697"
"2012-11-09","690","701","688","699","786500","699"
"2012-11-12","695","698","691","691","410400","691"
"2012-11-13","694","696","678","682","699400","682"
"2012-11-14","681","685","679","682","310500","682"
"2012-11-15","688","703","682","702","701200","702"
"2012-11-16","704","723","704","723","715900","723"
"2012-11-19","737","739","728","730","547400","730"
"2012-11-20","738","738","727","731","578400","731"
"2012-11-21","735","737","727","734","549400","734"
"2012-11-22","744","753","740","753","605300","753"
"2012-11-26","759","759","744","744","742800","744"
"2012-11-27","743","749","736","742","547100","742"
"2012-11-28","732","739","727","728","483800","728"
"2012-11-29","731","744","728","741","678000","741"
"2012-11-30","750","754","741","749","711800","749"
"2012-12-03","748","753","740","742","511300","742"
"2012-12-04","743","745","736","738","504900","738"
"2012-12-05","727","737","715","732","1033500","732"
"2012-12-06","737","751","732","748","746600","748"
"2012-12-07","745","749","740","740","531400","740"
"2012-12-10","752","752","739","743","496700","743"
"2012-12-11","747","748","741","744","430900","744"
"2012-12-12","752","771","751","768","945100","768"
"2012-12-13","783","801","783","795","1343100","795"
"2012-12-14","794","806","783","803","3087600","803"
"2012-12-17","811","812","792","802","1094100","802"
"2012-12-18","802","811","798","807","878600","807"
"2012-12-19","820","829","812","829","942100","829"
"2012-12-20","819","830","810","817","970900","817"
"2012-12-21","826","828","791","797","1368500","797"
"2012-12-25","806","827","802","827","1188000","827"
"2012-12-26","842","861","834","861","1322100","861"
"2012-12-27","870","901","868","893","1650200","893"
"2012-12-28","910","930","902","908","1303300","908"
